Year,Host_no.,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Average_goal_per_match,Attendance
1930,1,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,3.6,590.549
1934,,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,4.1,363
1938,,France,Italy,Hungary,Brazil,Sweden,84,15,18,4.7,375.7
1950,,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,4,1.045.246
1954,1,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,5.4,768.607
1958,1,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,3.6,819.81
1962,1,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,2.8,893.172
1966,1,England,England,Germany FR,Portugal,Soviet Union,89,16,32,2.8,1.563.135
1970,,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,3,1.603.975
1974,,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,2.6,1.865.753
1978,1,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,2.7,1.545.791
1982,1,Spain,Italy,Germany FR,Poland,France,146,24,52,2.8,2.109.723
1986,2,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2.5,2.394.031
1990,2,Italy,Germany FR,Argentina,Italy,England,115,24,52,2.2,2.516.215
1994,1,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,2.7,3.587.538
1998,2,France,France,Brazil,Croatia,Netherlands,171,32,64,2.7,2.785.100
2002,1,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2.5,2.705.197
2006,2,Germany,Italy,France,Germany,Portugal,147,32,64,2.3,3.359.439
2010,1,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,2.3,3.178.856
2014,2,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,2.7,3.386.810
2018,1,Russia,France,Crotia,Belgium,England,169,32,64,2.6,3.031.768
2022,1,Qatar,Argentina,France,Croatia,Morocco,172,32,64,2.7,3.404.252
